time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
5.4,0.007,0.801,0.7932416683535862,-19.95932112290177,-19.958560619861203,0.0,0.0,3.053271579331589,3.218116805721093e-05,1.1155426413089575e-09,2.473932144159013e-05,7.440731072979542e-06,235.50932194359967,0.0,10.050334327859773,225.45898916313516,-1.5473952714728512e-06
5.6,0.007,0.801,0.7933115109093941,-19.958052539033645,-19.957101517428157,0.0,0.0,3.05542787867084,3.348707052909776e-05,1.1162187727912918e-09,2.5740706854738384e-05,7.745247455586629e-06,245.12334189041997,0.0,10.723589091231972,234.39975439621713,-1.5970291542544146e-06
5.8,0.006,0.801,0.8019303291838139,-19.956787439576374,-19.95576684067572,0.0,0.0,3.057429763696048,3.469969425299266e-05,9.73813795084841e-10,2.667038226044505e-05,8.028338178752578e-06,253.99670499640666,0.0,11.418564296318912,242.5781423467905,-1.6467027421640523e-06
6.0,0.006,0.802,0.8019878808210168,-19.95548786883316,-19.954555642993228,0.0,0.0,3.0592773298998637,3.581903922889565e-05,9.578965106324686e-10,2.7528392005496993e-05,8.28968932688808e-06,262.133134946873,0.0,12.133246403112453,249.99989025031448,-1.7065539452687517e-06
6.2,0.005,0.797,0.8118199039092489,-19.954115714078767,-19.953466499922683,0.0,0.0,3.0609706559021195,3.684510545680672e-05,8.151193485657785e-10,2.831477260094477e-05,8.529517736513447e-06,269.5400570671754,0.0,12.86629705123175,256.6737617765161,-1.7605724451641436e-06
6.4,0.01,0.765,0.7725378966851543,-19.952086185736107,-19.95189623284881,0.0,0.0,3.0632793290918725,3.824428667668546e-05,1.515932132647619e-09,2.9386920430266194e-05,8.85585031428669e-06,279.91489391411227,0.0,13.619403044272277,266.29549269210725,-1.822267279294465e-06
6.6,0.015,0.739,0.7458986709519547,-19.948801165481086,-19.94907869276662,0.0,0.0,3.0671261222039337,4.057625537648334e-05,2.2973397741259284e-09,3.1173371151507336e-05,9.400586885201969e-06,297.9703191717554,0.0,14.410551304991005,283.55976975085406,-1.88408967005671e-06
6.8,0.02,0.718,0.7245140769609302,-19.944201846122212,-19.944958238183887,0.0,0.0,3.072509386734228,4.3841011556200396e-05,3.1221045367757593e-09,3.36733591993761e-05,1.0164530252287614e-05,324.0655091934958,0.0,15.257849678661223,308.80766145940333,-1.9445687371444365e-06
7.0,0.025,0.699,0.7060855291161023,-19.937825035820026,-19.939489772185937,0.0,0.0,3.079426928973266,4.8038555215836614e-05,3.930875210065012e-09,3.688586581518552e-05,1.1148758525441155e-05,358.49919434584694,0.0,16.183630899017338,342.31556546872685,-2.021897216764046e-06
7.2,0.032,0.682,0.6832169326590936,-19.929496322579922,-19.932345919575937,0.0,0.0,3.088183012084751,5.335544385137582e-05,5.0338430705684425e-09,4.0952190812159046e-05,1.2398219196146328e-05,403.3011232679104,0.0,17.211732663502218,386.0893926981708,-2.0937626459271996e-06
7.4,0.038,0.667,0.6656688065891674,-19.92003469485607,-19.92332910594334,0.0,0.0,3.098926687003948,5.9884956210809926e-05,6.034231986775987e-09,4.5941553444634156e-05,1.3937368534189157e-05,459.71167617142913,0.0,18.371793356814738,441.3398849800293,-2.1654149122696253e-06
7.6,0.04,0.653,0.660678574436265,-19.909472025613894,-19.9131475492332,0.0,0.0,3.1108862105319095,6.716069855417935e-05,6.436440618295636e-09,5.1495556171019444e-05,1.5658705942541696e-05,523.4197585449892,0.0,19.692072984357925,503.72768778824,-2.227608717930707e-06
7.8,0.046,0.64,0.6449390828833861,-19.897330862705047,-19.901778135673055,0.0,0.0,3.124056933162161,7.518267088148411e-05,7.378074922691596e-09,5.761203976050808e-05,1.7563253046053466e-05,594.5741200754275,0.0,21.180029532454526,573.3940928506906,-2.3077177502273116e-06
8.0,0.05,0.628,0.6354167145480598,-19.88363509283107,-19.888895443675693,0.0,0.0,3.1387405242491733,8.413743068870804e-05,8.095435981340977e-09,6.443109946131644e-05,1.9698235791410384e-05,675.1973018246243,0.0,22.864081491177814,652.3332227080385,-2.3745919861539733e-06
8.2,0.056,0.616,0.621376375526373,-19.868254150812646,-19.874474232645838,0.0,0.0,3.154931460713982,9.402497797585109e-05,9.055667188414606e-09,7.195017035557352e-05,2.2065751953089347e-05,765.4723895299171,0.0,24.772707692006605,740.6996842672298,-2.429319351904269e-06
8.4,0.061,0.606,0.6105830456958145,-19.851221578230565,-19.85832755875819,0.0,0.0,3.1727741767000746,0.00010493859149090532,9.968980046686727e-09,8.023632765951476e-05,2.4692294851344065e-05,866.5608147307744,0.0,26.92180949319707,839.6390076951933,-2.457616005813179e-06
8.6,0.066,0.595,0.6003801389613261,-19.83252215544735,-19.840600334659825,0.0,0.0,3.192109821905929,0.00011678499248587858,1.082769018667903e-08,8.92158012931133e-05,2.7558363502578728e-05,977.6132217938838,0.0,29.349907503953627,948.263316801357,-2.511426828277763e-06
8.8,0.074,0.586,0.5839842273328789,-19.81157153000359,-19.820758701716755,0.0,0.0,3.2133841368795744,0.00012984401720474685,1.2197114407195707e-08,9.909559316687456e-05,3.073622692346517e-05,1101.9153329601857,0.0,32.07173327438482,1069.8436022245035,-2.538702574383933e-06
9.0,0.078,0.576,0.577329783490648,-19.7886399100623,-19.79895518921478,0.0,0.0,3.236436170060588,0.000144022386899518,1.299421620974046e-08,0.0001098009573761372,3.420843530717124e-05,1238.5839349235332,0.0,35.13833751384964,1203.4455999917618,-2.5820781957008876e-06
