time_s,current_A_cm2,charge_C_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,left_plate_C,right_plate_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,mode1,mode2,mode3,mode4,mode5
204.49999999999454,0.3,52.34999999999667,-1.821614506082767,1.0676853562283668,2.014835897408773,1.0676853563657573,-1.8216145058107145,-5.757866881131747,-5.757866880982078,0.7013588282931108,0.7457922267091457,0.7615123678683638,0.745792226711156,0.7013588282940141,0.15562850208620146,0.06448222533129444,0.025180532330910377,0.06448222532648305,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
204.74999999999454,0.3,52.42499999999666,-1.8006425595506244,1.088006792377314,2.0350757476479657,1.088006792516694,-1.800642559279197,-5.736529564163959,-5.736529564013495,0.7014122662968488,0.7460823917668377,0.7617266832290489,0.746082391768864,0.7014122662977502,0.15562850208620146,0.06379325273412588,0.024676597165861566,0.0637932527292764,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
204.99999999999454,0.3,52.499999999996646,-1.7796838312800105,1.1083096074665377,2.0552981693338097,1.1083096076129095,-1.7796838310071053,-5.715200220538179,-5.715200220386862,0.7014656624725744,0.7463741295138893,0.7619392039258109,0.7463741295159467,0.7014656624734796,0.15562850208620146,0.06309882672052738,0.024177853458375555,0.0630988267156372,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
205.24999999999454,0.3,52.574999999996635,-1.7587382701593697,1.1285940641652132,2.075503357797402,1.1285940643093113,-1.7587382698897045,-5.693878884490232,-5.693878884337948,0.7015190170262184,0.7466673151232085,0.7621499028080243,0.746667315125271,0.7015190170271155,0.15562850208620146,0.062399298419737695,0.023684400181771755,0.062399298414807354,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
205.49999999999454,0.3,52.64999999999662,-1.7378058214869725,1.14886042960552,2.0956915132575205,1.1488604297439906,-1.7378058212191831,-5.672565589638623,-5.672565589485714,0.701572330171951,0.7469618247134315,0.7623587545074275,0.7469618247154879,0.7015723301728433,0.15562850208620146,0.06169501765328147,0.02319633082478179,0.061695017648319805,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
205.74999999999454,0.3,52.72499999999661,-1.716886427056238,1.1691089750774495,2.115862840603995,1.169108975218478,-1.7168864267893014,-5.651260368965154,-5.651260368811677,0.7016256021319738,0.7472575354454505,0.7625657354149546,0.7472575354475216,0.7016256021328642,0.15562850208620146,0.06098633266692371,0.022713733436705994,0.060986332661934865,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
205.99999999999454,0.3,52.7999999999966,-1.6959800252836317,1.1893399757576049,2.136017549142423,1.1893399758966439,-1.6959800250157286,-5.6299632547954275,-5.629963254641211,0.7016788331362049,0.7475543256156829,0.7627708236560407,0.7475543256177563,0.7016788331370978,0.15562850208620146,0.060273589868284926,0.02223669067730655,0.06027358986326987,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
206.24999999999454,0.3,52.87499999999659,-1.6750865512952373,1.2095537103802485,2.1561558524014117,1.2095537105171275,-1.6750865510272206,-5.608674278779972,-5.60867427862496,0.7017320234220701,0.7478520747458035,0.7629739990655182,0.7478520747478762,0.7017320234229629,0.15562850208620146,0.05955713357029213,0.02176527987123958,0.05955713356525601,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
206.49999999999454,0.3,52.94999999999658,-1.6542059370484594,1.2297504609702514,2.1762779678945208,1.2297504611045724,-1.6542059367805564,-5.587393471877363,-5.587393471721555,0.7017851732341999,0.7481506636691927,0.7631752431607823,0.7481506636712628,0.701785173235092,0.15562850208620146,0.05883730574073278,0.021299573066833645,0.0588373057356789,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
206.74999999999454,0.3,53.02499999999657,-1.6333381114332042,1.249930512546996,2.196384116911986,1.2499305126777358,-1.6333381111664949,-5.566120864337222,-5.566120864180675,0.7018382828241833,0.7484499746138387,0.7633745391138705,0.748449974615902,0.7018382828250728,0.15562850208620146,0.05811444575803841,0.020839637099044062,0.058114445752969375,0.15562850208563747,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
