time_s,current_A_cm2,charge_C_cm2,T1_C,T2_C,T3_C,T4_C,T5_C,left_plate_C,right_plate_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,q1_W_cm2,q2_W_cm2,q3_W_cm2,q4_W_cm2,q5_W_cm2,mode1,mode2,mode3,mode4,mode5
50.74999999999802,0.2537499999999901,6.438906249999819,-25.279013010093763,-23.5240095053814,-22.974331732081225,-23.524005949114127,-25.27900608049137,-27.88039517509887,-27.88038584204932,0.6420460395629999,0.6484774229265431,0.6503555820953113,0.6484774370951303,0.6420460664329742,0.035595127107812624,0.0324890282001393,0.03148204784589258,0.03248901547067136,0.03559510496872762,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
50.999999999998,0.25499999999999,6.5024999999998165,-25.246047587322323,-23.48008057681281,-22.926856786491697,-23.480077028737867,-25.246040672795687,-27.86271508571687,-27.862705771790502,0.6421289807877916,0.6486104664670427,0.6505040298863966,0.64861048065145,0.6421290076858001,0.036187734746832644,0.03303264041087057,0.03200975456153146,0.03303262757710988,0.03618771241740181,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
51.24999999999799,0.25624999999998993,6.566406249999814,-25.212951445968372,-23.435997253037755,-22.87921896145076,-23.435993713121036,-25.212944546472812,-27.84493266917687,-27.84492337434071,0.6422064989473817,0.6487384118242339,0.6506474925298452,0.6487384260248893,0.6422065258741505,0.03678567350571394,0.03358090772511757,0.03254187959192236,0.033580894786448864,0.03678565098484691,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
51.499999999997975,0.2574999999999899,6.630624999999812,-25.17972452447097,-23.391759672394215,-22.831418484596526,-23.39175614059826,-25.17971763996667,-27.82704775363166,-27.827038477852568,0.6422786038969764,0.6488612719890288,0.6507859844623263,0.6488612862063706,0.6422786308532209,0.037388945266379696,0.034133825074867494,0.03307841358049521,0.034133812030679854,0.037388922552992906,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
51.74999999999796,0.2587499999999898,6.695156249999809,-25.146366757356105,-23.34736796423084,-22.783455573170556,-23.347364440519954,-25.146359887796706,-27.80906016802902,-27.80905091127366,0.6423453057865383,0.6489790603178366,0.6509195201202368,0.6489790745523004,0.6423453327729954,0.03799755136458817,0.034691386791171626,0.03361934790372563,0.03469137364085839,0.037997528457604235,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
51.99999999999795,0.25999999999998974,6.759999999999806,-25.112878075266906,-23.302822249034193,-22.73533043393988,-23.30281873337651,-25.11287122061674,-27.790969742079255,-27.790960504314256,0.6424066150433144,0.6490917905150675,0.6510481141267446,0.6490918047670763,0.6424066420606942,0.03861149259697009,0.035253586611814464,0.03416467398890011,0.03525357335477284,0.0386114694953176,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
52.24999999999793,0.26124999999998966,6.825156249999804,-25.079258405031197,-23.258122638578556,-22.687043263232056,-23.25811913094327,-25.079251565247063,-27.772776306222454,-27.772767087414564,0.642462542354894,0.6491994766159593,0.6511717813799972,0.6491994908859379,0.6424625694039318,0.03923076922844581,0.035820417690327296,0.03471438295959967,0.03582040432595801,0.03923074593105821,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
52.49999999999792,0.2624999999999896,6.890624999999801,-25.04550766969689,-23.21326923606668,-22.63859424702784,-23.213265736424603,-25.045500844738655,-27.75447969159771,-27.754470491713505,0.6425130986531195,0.6493021329701335,0.6512905370891762,0.6493021472585018,0.6425131257345463,0.03985538099946062,0.03639187260515796,0.03526846546129005,0.036391859132865204,0.03985535750527597,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
52.749999999997904,0.26374999999998955,6.956406249999799,-25.011625788479023,-23.168262136265298,-22.589983561044022,-23.168258644578714,-25.01161897830727,-27.73607973001097,-27.73607054901703,0.6425582950968405,0.64939977422597,0.6514043967842305,0.6493997885331743,0.6425583222113912,0.0404853271327899,0.03696794336845832,0.03582691158063028,0.036967929787648394,0.04048530344075035,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
52.99999999999789,0.26499999999998947,7.022499999999797,-24.97761265163689,-23.123101425302792,-22.54121137087546,-23.123097941546632,-24.977605856210857,-27.717576253838104,-27.717567091700914,0.6425981431383744,0.649492415316773,0.6515133763125376,0.6494924296432248,0.6425981702867581,0.041120606269829774,0.03754862143426767,0.03638971081217219,0.03754860774434949,0.041120582378912494,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
53.249999999997875,0.2662499999999894,7.088906249999794,-24.94346812803252,-23.07778717971641,-22.49227783205788,-23.077783703866686,-24.943461347319413,-27.69896909576957,-27.69895995245571,0.6426326560409192,0.6495800714498614,0.6516174918297575,0.6495800857959719,0.642632683223589,0.0417612146423778,0.03813389770601686,0.03695685204847223,0.03813388390640207,0.04176119055194616,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
53.49999999999786,0.2674999999999893,7.155624999999791,-24.909192110864353,-23.032319467226216,-22.44318309015182,-23.03231599925266,-24.909185344839614,-27.68025808889152,-27.680248964367593,0.642661849002739,0.6496627580916371,0.6517167597880783,0.6496627724578377,0.6426618762200635,0.04240714309885226,0.03872376254337443,0.03752832358139924,0.038723748633476184,0.04240711880866676,0.0,0.0,0.0,0.0,0.0,off,off,off,off,off
