time_s,current_density_Acm2,voltage_exp_V,voltage_model_V,temperature_exp_C,temperature_model_C,max_ice_volume_fraction,max_pore_ice_saturation,membrane_lambda_mean,plate_anode_C,plate_cathode_C,generated_water_kgm2,retained_pore_water_kgm2,membrane_sorbed_kgm2,escaped_water_kgm2,mass_balance_error_kgm2,heat_generated_Jm2,latent_released_Jm2,heat_lost_Jm2,heat_storage_Jm2,energy_balance_error_Jm2
4.2,0.006270627062706271,0.8,0.7951072540459769,-24.96738747680149,-24.96154871015608,0.0,0.0,3.0000272516957778,-24.966516286492094,-24.96651144221795,2.638280099969369e-05,4.345548344594092e-09,1.2655687519009043e-08,2.6365799763829783e-05,3.015437292225309e-19,194.82272003294412,0.0,6.470065400896942,188.3526546904241,-5.837691219312546e-08
4.4,0.006600660066006601,0.8,0.7923516870451399,-24.966095779823718,-24.96008215845302,0.0,0.0,3.00002852441178,-24.965244610924202,-24.965239700011807,2.758341854810449e-05,4.526088243437858e-09,1.3246736830715977e-08,2.7565645723030145e-05,1.8973538018496328e-19,203.6561806739074,0.0,7.017965196405272,196.63821552423528,-4.673316311709641e-08
4.6,0.006600660066006601,0.801,0.7923557428093019,-24.964769517915357,-24.958731913611814,0.0,0.0,3.0000297708944674,-24.963937001781886,-24.963932050075442,2.881482116185915e-05,4.5261330503539494e-09,1.3825603390220029e-08,2.8796469425418953e-05,-3.7608262858090935e-19,212.7340254999439,0.0,7.58716856869455,205.1468569960759,-6.482656544903875e-08
4.8,0.006600660066006601,0.8,0.7923596617941376,-24.96344694944014,-24.957426787001395,0.0,0.0,3.0000310763210023,-24.962632042056555,-24.96262706479689,3.0046223775613816e-05,4.549449062734072e-09,1.4431843473310807e-08,3.002724248307861e-05,-8.368685518872487e-19,221.81181672216525,0.0,8.176748004444699,213.63506877061462,-5.2894080226906226e-08
5.0,0.006600660066006601,0.8,0.7923635710116578,-24.962128058921877,-24.956124923794988,0.0,0.0,3.0000323817606174,-24.96133029337844,-24.961325293659343,3.127762638936848e-05,4.549407275698106e-09,1.5038089630752677e-08,3.1258038892463385e-05,-1.3552527156068805e-18,230.88955626091723,0.0,8.787176152578423,222.1023801494019,-4.106308892914967e-08
5.2,0.007260726072607262,0.801,0.7871603856246346,-24.960736299164267,-24.95427873212921,0.0,0.0,3.000033752165994,-24.959961626251413,-24.95995646859336,3.257059913381088e-05,4.957403157331942e-09,1.567450588746931e-08,3.25499672247678e-05,-1.7211709488207383e-18,240.45822850096403,0.0,9.418887649146793,231.03934088103847,-2.9221240538390703e-08
5.4,0.006600660066006601,0.801,0.7923720676181132,-24.95934843859746,-24.953295936602643,0.0,0.0,3.0000351230189084,-24.958586832061485,-24.95858173015114,3.386357187825327e-05,4.596212149942944e-09,1.6311129980755082e-08,3.3842664536123834e-05,-1.260385025514399e-18,250.02683440419293,0.0,10.072927795795161,239.95390662582253,-1.742475319588266e-08
5.6,0.006270627062706271,0.801,0.79513487963622,-24.958079068740886,-24.95235369236397,0.0,0.0,3.000036338412773,-24.957329125109283,-24.957324103359696,3.506418942666407e-05,4.328610848563905e-09,1.687555889169981e-08,3.5042985256925403e-05,-1.599198204416119e-18,258.85998211091703,0.0,10.748255778656336,248.1117263680861,-3.582539420676767e-08
5.8,0.006600660066006601,0.801,0.7923792075079121,-24.95681320218958,-24.950916718928397,0.0,0.0,3.0000376110319382,-24.95607998104154,-24.956074915659798,3.626480697507487e-05,4.5257953489364546e-09,1.7466563232001672e-08,3.6242814616495986e-05,-2.0599841277224584e-18,267.6930878427935,0.0,11.44293551983285,256.2501523464551,-2.3494465040130308e-08
6.0,0.006600660066006601,0.802,0.7923831968571293,-24.955512751340308,-24.94958894102504,0.0,0.0,3.0000389164001784,-24.954794848664363,-24.954789761532737,3.7496209588829536e-05,4.549197365084881e-09,1.8072776242997884e-08,3.747358761522354e-05,-2.087089182034596e-18,276.7705683426162,0.0,12.158035122098525,264.61253323195655,-1.1438885394454701e-08
6.2,0.007260726072607262,0.797,0.7871799486908129,-24.95413946251921,-24.947758833363537,0.0,0.0,3.000040286744532,-24.953442270204846,-24.95343703652418,3.878918233327193e-05,4.957175173263489e-09,1.8709164160838135e-08,3.876551599393981e-05,-1.9786689647860456e-18,286.33896892829915,0.0,12.89415988001786,273.4448090479769,3.043965079996269e-10
6.4,0.012211221122112212,0.765,0.7564706135216046,-24.952105480816925,-24.942021158467185,0.0,0.0,3.000042209697757,-24.95147464122533,-24.951468269258527,4.060550118856006e-05,8.064084205158979e-09,1.9602183638214518e-08,4.057783492071882e-05,-2.1277467635028025e-18,300.1717650487707,0.0,13.656566625050282,286.515198411372,1.2348380096227629e-08
6.6,0.01749174917491749,0.739,0.7320677206399562,-24.948805143686343,-24.93416530703945,0.0,0.0,3.0000450097290052,-24.948285832948415,-24.94827774935041,4.337615706950805e-05,1.1529206642524372e-08,2.0902518149722507e-08,4.334372534471872e-05,-2.913793338554793e-18,322.0594076488924,0.0,14.46330961125118,307.59609804364965,-6.008463060425129e-09
6.8,0.022442244224422443,0.717,0.7129482855162617,-24.94417356271572,-24.924819763921107,0.0,0.0,3.0000489494438423,-24.94381981197003,-24.943809643399163,4.710114997611591e-05,1.511421638088262e-08,2.273212172014885e-08,4.706330363801781e-05,-2.927345865710862e-18,352.3333487117661,0.0,15.332064894583574,337.0012838113015,5.881020115339197e-09
7.0,0.030693069306930696,0.698,0.6854542680423913,-24.937733762415093,-24.91099019345242,0.0,0.0,3.000054185038924,-24.937665604838543,-24.93765225889993,5.2057545496478446e-05,2.0564816872663053e-08,2.516353207618685e-08,5.201181714753231e-05,-2.7172816947917955e-18,393.8767895117283,0.0,16.287357405502146,377.5894320882865,1.7939669305633288e-08
7.2,0.036303630363036306,0.682,0.6687016339474106,-24.92929969214393,-24.896767037928498,0.0,0.0,3.0000607784720517,-24.92962675463832,-24.92961016020925,5.8306913761283375e-05,2.4617368285922343e-08,2.822552242084074e-08,5.825407087057952e-05,-2.9070170749767588e-18,447.69213923761623,0.0,17.360012057181077,430.3321271505557,2.987945890708943e-08
7.4,0.03861386138613861,0.666,0.6621424074449367,-24.919705504326544,-24.884645918959563,0.0,0.0,3.0000681422601767,-24.92046460910288,-24.920445418057966,6.52951235943411e-05,2.644242720317955e-08,3.1645265626033606e-08,6.523703590151453e-05,-2.642742795433417e-18,508.72201891256793,0.0,18.573245175136666,490.14877369542376,4.2007513911812566e-08
7.6,0.043894389438943894,0.652,0.6476607149337278,-24.908982315549736,-24.869407881945307,0.0,0.0,3.0000758751766203,-24.910263585483733,-24.910241188758192,7.299138993030773e-05,2.9625536488280998e-08,3.5236432022406686e-08,7.292652796179955e-05,-2.507217523872729e-18,576.8170260074387,0.0,19.946156265739887,556.8708697177201,2.397871412540553e-08
7.8,0.049174917491749175,0.64,0.6338238840558527,-24.896636929588254,-24.85176298535643,6.633198885004126e-07,1.5767052258150999e-06,3.00018679010135,-24.898557364955224,-24.89853126991477,8.167277835727813e-05,9.92081568452357e-08,8.674532306677217e-08,8.148682487736842e-05,-2.303929616531697e-18,654.9430743513476,0.0003206781035756957,21.492548379354528,633.4508466156278,3.4468826015654486e-08
8.0,0.05412541254125412,0.627,0.6214416664425867,-24.882691534413823,-24.832944768811643,5.008278963450388e-06,1.1904632668054166e-05,3.001381834889876,-24.885350288407977,-24.88532033045516,9.130850380990838e-05,3.878978427611483e-07,6.4172412285869e-07,9.027888184429118e-05,-2.642742795433417e-18,743.0071372096588,0.004069624663249347,23.240772785211202,719.7704340043067,4.48040964329266e-08
8.2,0.06006600660066006,0.616,0.6072794292545429,-24.86700926364557,-24.811662752281336,1.2473364244156966e-05,2.9649071176983517e-05,3.004360473787664,-24.870527072502853,-24.8704927726277,0.00010196013641888619,7.379589027938543e-07,2.025004026991314e-06,9.919717348910343e-05,-2.4123498337802474e-18,841.8722703775154,0.012996295284570532,25.221441558726927,816.6638250887083,2.5364670364069752e-08
