time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,Tplate_left_C,Tplate_right_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1_fraction,ice2_fraction,ice3_fraction,ice4_fraction,ice5_fraction
89.99999999999916,0.0,0.0,19.66542013105021,32.170686043394824,36.3324832102835,32.17068604338954,19.665420131047256,3.1365518679407955,3.1365518679408524,1.2236897264844893,1.2126398143660244,1.2089623641405478,1.212639814366029,1.223689726484492,0.0,0.0,0.0,0.0,0.0
90.49999999999913,0.0,0.0,19.883659283702286,32.39277505710618,36.55597173390112,32.39277505710146,19.883659283695692,3.3505237324463337,3.3505237324463337,1.223496885846432,1.212443571910951,1.2087648850495178,1.2124435719109552,1.2234968858464377,0.0,0.0,0.0,0.0,0.0
90.9999999999991,0.0,0.0,20.101788909380105,32.61469134377671,36.77926314291142,32.614691343774325,20.101788909374818,3.564446345459146,3.5644463454589754,1.2233041419886788,1.21224748208107,1.2085675801330396,1.2122474820810722,1.2233041419886834,0.0,0.0,0.0,0.0,0.0
91.49999999999908,0.0,0.0,20.319809919673048,32.83643761824783,37.00236084888928,32.83643761824561,20.319809919670433,3.7783189049949897,3.7783189049947623,1.2231114941057306,1.212051542477492,1.2083704463765754,1.212051542477494,1.223111494105733,0.0,0.0,0.0,0.0,0.0
91.99999999999905,0.0,0.0,20.537723200728692,33.0580165179727,37.225268165956265,33.058016517969236,20.537723200726873,3.9921406329789306,3.9921406329787033,1.2229189414145694,1.2118557507697083,1.2081734808516982,1.2118557507697114,1.222918941414571,0.0,0.0,0.0,0.0,0.0
92.49999999999902,0.0,0.0,20.75552961397841,33.27943060525752,37.447988313594635,33.2794306052524,20.755529613979206,4.205910774555832,4.205910774555434,1.2227264831540159,1.2116601046936124,1.2079766807136072,1.2116601046936168,1.2227264831540152,0.0,0.0,0.0,0.0,0.0
92.99999999999899,0.0,0.0,20.973229996856844,33.50068236940746,37.67052441936494,33.500682369404615,20.97322999685656,4.419628597421081,4.419628597420683,1.222534118584096,1.2114646020496023,1.2077800431987247,1.211464602049605,1.222534118584096,0.0,0.0,0.0,0.0,0.0
93.49999999999896,0.0,0.0,21.190825163482657,33.7217742288467,37.8928795215507,33.72177422884562,21.190825163482884,4.633293391171264,4.63329339117081,1.2223418469854372,1.2112692407007086,1.2075835656223606,1.2112692407007095,1.222341846985437,0.0,0.0,0.0,0.0,0.0
93.99999999999893,0.0,0.0,21.40831590534401,33.94270853315271,38.11505657174183,33.942708533151745,21.408315905342818,4.846904466672299,4.846904466671845,1.2221496676586645,1.2110740185707956,1.207387245376429,1.2110740185707964,1.2221496676586656,0.0,0.0,0.0,0.0,0.0
94.4999999999989,0.0,0.0,21.625702991935043,34.163487565036974,38.33705843732338,34.16348756503572,21.625702991934418,5.060461155446944,5.060461155446603,1.221957579923837,1.2108789336428125,1.207191079927249,1.2108789336428136,1.2219575799238376,0.0,0.0,0.0,0.0,0.0
